,Zeit,Anzahl
0,10.0,474
1,20.0,456
2,30.0,431
3,40.0,419
4,50.0,396
5,60.0,385
6,70.0,347
7,80.0,329
8,90.0,337
9,100.0,320
10,110.0,295
11,120.0,308
12,130.0,267
13,140.0,263
14,150.0,256
15,160.0,252
16,170.0,207
17,180.0,208
18,190.0,194
19,200.0,191
20,210.0,231
21,220.0,200
22,230.0,180
23,240.0,186
24,250.0,149
25,260.0,128
26,270.0,178
27,280.0,174
28,290.0,106
29,300.0,108
30,310.0,128
31,320.0,106
32,330.0,116
33,340.0,104
34,350.0,94
35,360.0,83
36,370.0,70
37,380.0,89
38,390.0,106
39,400.0,72
40,410.0,100
41,420.0,69
42,430.0,86
43,440.0,63
44,450.0,97
45,460.0,74
46,470.0,75
47,480.0,58
48,490.0,59
49,500.0,47
